Reference	Value (lower bound)	Value	Value (upper bound)	Tolerance (lower bound)	Tolerance (upper bound)	rel. tol?	Footprint	Datasheets	Digi-Key Part Number	Manufacturer Part Number	Manufacturer	Current (A)	Q	DC Resistance (ohm)	Tolerance	Core Material	Price												
L	1.900000e-009	2.200000e-009	2.500000e-009	-3.000000e-010	3.000000e-010	0	0201 (0603 Metric)	http://www.tdk.co.jp/tefe02/e521_mlk.pdf	445-1574-1-ND	MLK0603L2N2ST000	TDK Corporation	3.000000e-001	6 @ 300MHz	3.000000e-001	±0.3nH	Ceramic	0.08000												
L	2.700000e-009	3.000000e-009	3.300000e-009	-3.000000e-010	3.000000e-010	0	0201 (0603 Metric)	http://www.tdk.co.jp/tefe02/e521_mlg.pdf	445-3094-1-ND	MLG0603S3N0ST000	TDK Corporation	3.000000e-001	4 @ 100MHz	3.000000e-001	±0.3nH	Ceramic	0.08000												
L	5.900000e-009	6.200000e-009	6.500000e-009	-3.000000e-010	3.000000e-010	0	0201 (0603 Metric)	http://www.tdk.co.jp/tefe02/e521_mlg.pdf	445-3102-1-ND	MLG0603S6N2ST000	TDK Corporation	2.500000e-001	5 @ 100MHz	5.500000e-001	±0.3nH	Ceramic	0.08000												
L	4.465000e-008	4.700000e-008	4.935000e-008	-5.000000e-002	5.000000e-002	2	0201 (0603 Metric)	http://www.tdk.co.jp/tefe02/e521_mlg.pdf	445-3115-1-ND	MLG0603S47NJT000	TDK Corporation	5.000000e-002	6 @ 100MHz	2.200000e+000	±5%	Ceramic	0.08000												
L	1.700000e-009	2.000000e-009	2.300000e-009	-3.000000e-010	3.000000e-010	0	0201 (0603 Metric)	http://www.tdk.co.jp/tefe02/e521_mlk.pdf	445-6342-1-ND	MLK0603L2N0ST000	TDK Corporation	3.000000e-001	6 @ 300MHz	3.000000e-001	±0.3nH	Ceramic	0.08000												
L	4.800000e-009	5.100000e-009	5.400000e-009	-3.000000e-010	3.000000e-010	0	0201 (0603 Metric)	http://www.tdk.co.jp/tefe02/e521_mlk.pdf	445-6348-1-ND	MLK0603L5N1ST000	TDK Corporation	2.000000e-001	6 @ 300MHz	6.000000e-001	±0.3nH	Ceramic	0.08000												
L	7.125000e-009	7.500000e-009	7.875000e-009	-5.000000e-002	5.000000e-002	2	0201 (0603 Metric)	http://www.tdk.co.jp/tefe02/e521_mlk.pdf	445-6350-1-ND	MLK0603L7N5JT000	TDK Corporation	2.000000e-001	6 @ 300MHz	7.000000e-001	±5%	Ceramic	0.08000												
L	7.000000e-010	1.000000e-009	1.300000e-009	-3.000000e-010	3.000000e-010	0	0201 (0603 Metric)	http://www.tdk.co.jp/tefe02/e521_mlk.pdf	445-1570-1-ND	MLK0603L1N0ST000	TDK Corporation	3.000000e-001	6 @ 300MHz	2.000000e-001	±0.3nH	Ceramic	0.08000												
L	9.000000e-010	1.200000e-009	1.500000e-009	-3.000000e-010	3.000000e-010	0	0201 (0603 Metric)	http://www.tdk.co.jp/tefe02/e521_mlk.pdf	445-1571-1-ND	MLK0603L1N2ST000	TDK Corporation	3.000000e-001	6 @ 300MHz	2.200000e-001	±0.3nH	Ceramic	0.08000												
L	1.200000e-009	1.500000e-009	1.800000e-009	-3.000000e-010	3.000000e-010	0	0201 (0603 Metric)	http://www.tdk.co.jp/tefe02/e521_mlk.pdf	445-1572-1-ND	MLK0603L1N5ST000	TDK Corporation	3.000000e-001	6 @ 300MHz	2.400000e-001	±0.3nH	Ceramic	0.08000												
L	2.400000e-009	2.700000e-009	3.000000e-009	-3.000000e-010	3.000000e-010	0	0201 (0603 Metric)	http://www.tdk.co.jp/tefe02/e521_mlk.pdf	445-1575-1-ND	MLK0603L2N7ST000	TDK Corporation	3.000000e-001	6 @ 300MHz	3.500000e-001	±0.3nH	Ceramic	0.08000												
L	3.600000e-009	3.900000e-009	4.200000e-009	-3.000000e-010	3.000000e-010	0	0201 (0603 Metric)	http://www.tdk.co.jp/tefe02/e521_mlk.pdf	445-1577-1-ND	MLK0603L3N9ST000	TDK Corporation	2.000000e-001	6 @ 300MHz	4.500000e-001	±0.3nH	Ceramic	0.08000												
L	6.460000e-009	6.800000e-009	7.140000e-009	-5.000000e-002	5.000000e-002	2	0201 (0603 Metric)	http://www.tdk.co.jp/tefe02/e521_mlk.pdf	445-1580-1-ND	MLK0603L6N8JT000	TDK Corporation	2.000000e-001	6 @ 300MHz	6.500000e-001	±5%	Ceramic	0.08000												
L	7.790000e-009	8.200000e-009	8.610000e-009	-5.000000e-002	5.000000e-002	2	0201 (0603 Metric)	http://www.tdk.co.jp/tefe02/e521_mlk.pdf	445-1581-1-ND	MLK0603L8N2JT000	TDK Corporation	2.000000e-001	6 @ 300MHz	7.000000e-001	±5%	Ceramic	0.08000												
